Table S1. oxLDL-induced differentially expressed genes in macrophages identified by single-cell transcriptomics,,,,,
gene,logFC,logCPM,F,PValue,P_adj
IGFBP4,-0.763164026,7.22181453,59.66885174,9.41494623080906e-07,6.35431506159298e-05
MSANTD3,1.284964014,3.856853458,59.28600256,9.8068531367085e-07,6.56284934911835e-05
CD200R1,-1.440090367,3.957518269,59.21852379,9.87781708169855e-07,6.56713433693057e-05
ABCB4,2.275966745,2.799094315,58.33602994,1.08612173244504e-06,7.17404562495514e-05
MELTF,1.8403223,3.207049186,57.68858997,1.16529680644324e-06,7.59833276611576e-05
ACP5,0.869088263,8.739728817,57.72643054,1.16049431579516e-06,7.59833276611576e-05
NOTCH3,2.847459196,2.032183983,57.48452651,1.19158448532561e-06,7.72025311129436e-05
MT2A,-1.178774368,7.403881216,57.4164548,1.20050169988638e-06,7.72879955142045e-05
FNDC3B,0.732377065,6.711378543,57.31560244,1.21385167790253e-06,7.76559702366325e-05
CYP27A1,0.897967479,6.108958002,57.21505933,1.22732748396071e-06,7.80273447928021e-05
FTH1,0.550350627,15.51394285,56.92664021,1.26692931908039e-06,8.00447517620231e-05
TNFSF10,-2.113576127,2.807200957,56.69787421,1.29936580819329e-06,8.15873395119886e-05
PPP3R1,-0.823034049,5.979502029,56.23409141,1.36803821551746e-06,8.53722989462795e-05
TRPV4,1.639157428,3.378353654,55.69396099,1.45322448264708e-06,9.01353624236956e-05
CXCL16,0.956507181,6.529506088,55.04899608,1.56287744829191e-06,9.63490266910627e-05
OLFML3,-2.150800327,4.361183984,54.82796821,1.60257727362997e-06,9.82013013696629e-05
ITGA3,2.232589221,2.711413515,54.37720054,1.68711469397991e-06,0.000102762
LILRB4,0.708222072,6.60205057,54.20180506,1.72135773219985e-06,0.000104224
PPM1K,-1.588963627,3.630576543,53.07147986,1.96177506195643e-06,0.000117389
APOBR,1.063489974,4.852530375,53.0710968,1.96186270723669e-06,0.000117389
ITM2B,-0.686867898,9.553177245,52.1300853,2.19112574243725e-06,0.00013034
PSEN2,1.387035247,3.464583809,51.99105302,2.22749365039299e-06,0.000131144
SLC7A11,1.958506048,3.690768234,51.93131573,2.24332822533949e-06,0.000131144
CYSTM1,0.706848957,6.788549666,51.95291287,2.23758887034362e-06,0.000131144
FASN,-1.479647329,4.930238589,51.62788893,2.32574207442817e-06,0.000135185
PHLDA3,1.236969705,3.896526896,51.45503812,2.37421281261025e-06,0.000136443
CYBB,-0.69337313,8.41449027,51.47685976,2.36803124968713e-06,0.000136443
PPIF,0.944022432,5.192139645,51.34162173,2.40663536693991e-06,0.00013753
LAPTM5,0.559198955,10.56423819,51.0970364,2.47826808105495e-06,0.000140832
ADAM9,0.662383675,7.171070098,50.88029025,2.54376046077917e-06,0.000143751
QPRT,-0.95218857,6.797729448,50.80942967,2.56559320966195e-06,0.000144184
TMEM176B,-1.06956825,7.001341542,50.69018639,2.60281148897013e-06,0.000145471
GSDMA,-0.827351924,5.233715741,50.37333041,2.7047009554601e-06,0.00015034
EGR1,-1.03982057,4.856411562,50.28468536,2.73400534795826e-06,0.000151143
SSBP2,-1.358741227,3.833798582,50.13701479,2.78362054899195e-06,0.000153054
FDPS,-0.973754072,5.463905575,49.87226982,2.87513281776984e-06,0.000155691
GPAT3,1.728098938,3.43001323,49.8222173,2.89281257677075e-06,0.000155691
LINC02762,2.205236018,2.929109928,49.89393118,2.86751928537678e-06,0.000155691
LGALS1,0.551162636,11.80047501,49.86245191,2.87859111720278e-06,0.000155691
RGS18,-0.834457804,5.530402605,49.73782718,2.92289936991376e-06,0.000156483
CD83,1.050059027,5.021816922,49.58802472,2.97717974908605e-06,0.000157729
ANPEP,0.811282244,7.154055675,49.61574639,2.96704981404219e-06,0.000157729
OSGIN1,1.267086832,4.232752243,49.49376318,3.01191714517026e-06,0.000158682
BBC3,-1.225735716,4.54168257,49.45488325,3.02637811817074e-06,0.000158682
AC025857.2,-1.936009024,3.031635817,49.23516435,3.10958561937933e-06,0.000162209
EEPD1,0.754164071,6.03760366,49.18281361,3.12978920951119e-06,0.00016243
YWHAZ,0.646675098,7.813933367,49.02948793,3.18981820249981e-06,0.000164705
TLR8,-1.211038815,4.149716856,48.98495504,3.20749580969442e-06,0.000164781
GAMT,-1.087558524,4.479353725,48.90803682,3.23828965319435e-06,0.000165527
JAKMIP2,1.516676082,3.996658994,48.67446085,3.33386225586978e-06,0.00016956
CCL3L1,0.791722681,5.272428608,48.48330573,3.41444655728709e-06,0.000172795
ASRGL1,-0.899663688,5.125019885,48.25109877,3.51530562413756e-06,0.000177018
GPR34,-0.700161063,7.1230059,48.16812127,3.55215788354643e-06,0.000177993
RAB20,0.968659792,5.350753281,48.09185545,3.58641373833432e-06,0.000178828
COL23A1,0.860597611,4.820893948,47.89840471,3.67498733589548e-06,0.000182351
SESN1,-1.067924912,4.475254453,47.6681154,3.78365885007264e-06,0.000186832
CYTOR,0.988485045,6.448430146,47.56555103,3.83322028887404e-06,0.000188365
CYTIP,1.25952963,3.584585648,47.15459113,4.03928006162275e-06,0.000196591
IRAK1,0.755395133,6.625940085,47.17421509,4.02916116286232e-06,0.000196591
NCS1,1.721272106,3.567636942,47.04811901,4.09468313628532e-06,0.000198339
CD9,0.640206144,8.253737639,46.86367208,4.19269983887349e-06,0.000202124
KLHDC8B,1.387935236,5.356239008,46.75969241,4.24911966201553e-06,0.00020287
MXD4,-0.707657255,5.85965016,46.77726165,4.23952672762735e-06,0.00020287
TREM1,1.44265843,3.531750019,46.72521484,4.26801587355461e-06,0.00020287
PLD3,0.633567284,9.462352593,46.6791938,4.29338651437517e-06,0.000203127
NPC1,1.063079518,4.575011179,46.40874259,4.44596122877291e-06,0.000209372
ATP6V0D2,0.900682323,5.90443238,46.30121921,4.50831085023212e-06,0.00021133
TMEM176A,-0.882833613,6.115385023,46.19920688,4.56837721894255e-06,0.000212281
BCAT1,0.664035215,7.055253746,46.19587714,4.57035296138193e-06,0.000212281
