TableS4 TF-DORC pairs with strong cis-regulations,,,,,,,,,
DORC,TF,Enrichment.Z,Enrichment.P,Enrichment.log10P,Corr,Corr.Z,Corr.P,Corr.log10P,Score
NAV1,JDP2,7.670410761,1.71E-14,13.76587159,0.293989468,2.895765253,0.003782352,2.42223803,2.42223803
SLC16A10,JUND,8.67328901,4.20E-18,17.37694242,0.213033967,2.83775018,0.004543273,2.3426312,2.3426312
SLC16A10,NFE2L2,4.64351816,3.43E-06,5.465306622,-0.148466653,-2.15434053,0.031213477,-1.505657856,-1.505611688
SLC16A10,MAFK,3.086416041,0.002025851,2.693392394,0.1697501,2.24002785,0.025089115,1.60051466,1.567605776
ABCA1,ZNF799,3.356718325,0.000788734,3.103069319,-0.149023037,-2.243092698,0.024890837,-1.603960491,-1.590744373
ABCA1,ZNF35,2.30656085,0.021079314,1.676143523,-0.190297149,-2.845862474,0.004429132,-2.353681387,-1.594908467
AC093382.1,FOS,8.99793987,2.30E-19,18.63828591,-0.29225874,-2.797830625,0.005144708,-2.288639243,-2.288639243
AC093382.1,KLF7,3.780757263,0.000156352,3.805896389,-0.346791762,-3.276033909,0.001052759,-2.977670954,-2.917592859
ATP13A3,FOS,9.245872877,2.33E-20,19.63203242,-0.307766783,-3.302151672,0.000959462,-3.017972339,-3.017972339
ATP13A3,JUNB,8.189967541,2.61E-16,15.58286618,-0.31388347,-3.364705396,0.000766254,-3.115627089,-3.115627089
ATP13A3,FOSL2,7.712482506,1.23E-14,13.90870738,0.263751561,2.542614293,0.011002661,1.958502265,1.958502265
ATP13A3,FOSL1,6.756110362,1.42E-11,10.84849082,0.247113933,2.372465704,0.017669803,1.75276828,1.75276828
ITGB1BP1,FOS,7.600437509,2.95E-14,13.5299848,-0.330780779,-3.17500116,0.001498359,-2.824384113,-2.824384113
ITGB1BP1,ESRRA,3.016470253,0.002557363,2.592207607,0.276835848,2.355813762,0.018482181,1.733246776,1.677940417
ITGB1BP1,KLF8,2.849205281,0.004382859,2.358242488,0.326510582,2.807976768,0.004985382,2.302301532,2.029356045
MLPH,FOS,6.232740856,4.58E-10,9.338808403,-0.272431289,-3.114488345,0.001842642,-2.734558948,-2.73455884
MLPH,KLF4,3.625913806,0.000287941,3.540695895,-0.205802938,-2.419967282,0.015521904,-1.809055017,-1.801195178
MLPH,ZNF711,2.68682594,0.007213453,2.141856784,0.277898966,2.62204794,0.008740314,2.058472988,1.798856456
MLPH,KLF7,2.216174476,0.026679555,1.573821415,-0.262071486,-3.006499767,0.002642743,-2.577945141,-1.533847545
SPOCD1,FOS,10.1729284,2.62E-24,23.58184185,-0.295856508,-2.885347675,0.003909816,-2.407843663,-2.407843663
SPOCD1,MSANTD3,2.286190427,0.022243121,1.652804284,0.361531078,3.039132925,0.002372601,2.624775211,1.609719512
DOCK3,CEBPB,4.925785039,8.40E-07,6.075605287,0.25806024,2.693282889,0.007075221,2.150259996,2.150208789
DOCK3,GLI3,3.709488957,0.000207678,3.682609477,0.222890561,2.285070963,0.022308667,1.651526378,1.647591474
FGR,FOS,7.253680703,4.06E-13,12.39190673,-0.250639695,-2.824359406,0.004737523,-2.324448689,-2.324448689
FGR,KLF8,3.562925862,0.000366744,3.435636651,0.282994688,2.674618904,0.007481424,2.126015726,2.105383546
GALNT12,FOS,8.414053121,3.96E-17,16.40221576,-0.276522527,-3.13047992,0.001745209,-2.758152481,-2.758152481
GALNT12,GLI3,3.035565994,0.002400847,2.619635558,0.289203051,2.663722793,0.007728122,2.111926043,1.995231039
GALNT12,ZNF480,2.674745056,0.00747861,2.126179129,-0.243889107,-2.79624605,0.005170002,-2.286509258,-1.899286715
GALNT12,NR6A1,2.524882673,0.011573692,1.936528072,-0.267917383,-3.042345407,0.002347424,-2.629408532,-1.857174348
HTR2A,FOS,7.487136,7.04E-14,13.15247,-0.2317416,-2.731752,0.006299852,-2.20067,-2.20067
HTR2A,CEBPB,3.698001,0.000217304,3.662932,0.2460535,2.351112,0.01871739,1.727755,1.722835
HTR2A,TRPS1,3.136355,0.001710623,2.766846,-0.3521779,-4.012974,6.00E-05,-4.222149,-2.751909
KIFC1,KLF4,2.861569,0.004215495,2.375151,0.2700708,2.329773,0.01981817,1.702936,1.620692
